"Kyiv","Petra Grigorenka Avenue 40"
"Kyiv","Bratyslavska street 11"
"Kyiv","Stepan Banderi Avenue 11"
"Kyiv","Kiltseva road 1B"
"Kyiv","Stepan Banderi 36"
"Kyiv","Polyarna street 20D"
"Kyiv","Krishtaleva street 6"
"Kyiv","Berkovetska street 6V"
"Brovary","Kyivska street 253"
"Bucha","Nove shose 48"
"Boyarka","Magistralna street 2"
"Boryspil","Gorbatyuka street 2"
"Zhytomyr","Kiev highway 4/2"
"Cherkasy","30-richchya Peremohy street 29"
"Uman","Kyivska street 27"
"Vinnitsa","Batozka street 1V"
"Zarvantsi","Khmelnytsky highway 1-A"
"Kam'yanets-Podilsky","Khmelnytsky shose 11"
"Khmelnitsky","Zarychanska street 11/4"
"Pervomaisk","Fedor Dostoevsky Street 2-B/2"
